,loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,repay_fail,credit_age_yrs
1,2500,36 months,13.98,4 years,RENT,20004,Not Verified,Jul-10,other,487xx,MI,19.86,0,Aug-05,5,7,0,981,0.213,10,0,4.931318681
2,5000,36 months,15.95,4 years,RENT,59000,Not Verified,Jun-10,debt_consolidation,115xx,NY,19.57,0,Apr-94,1,7,0,18773,0.999,15,1,16.22252747
3,7000,36 months,9.91,10+ years,MORTGAGE,53796,Not Verified,Sep-11,other,751xx,TX,10.8,3,Mar-98,3,7,0,3269,0.472,20,0,13.54945055
4,2000,36 months,5.42,10+ years,RENT,30000,Not Verified,Sep-11,debt_consolidation,112xx,NY,3.6,0,Jan-75,0,7,0,0,0,15,0,36.79120879
5,3600,36 months,10.25,10+ years,MORTGAGE,675048,Not Verified,Apr-10,other,352xx,AL,1.55,0,Apr-98,4,8,0,0,0,25,0,12.04120879
6,8000,36 months,6.03,n/a,MORTGAGE,77736,Verified,Oct-11,other,853xx,AZ,6.07,0,Jul-96,0,12,0,4182,0.136,49,0,15.3021978
7,6000,36 months,7.49,3 years,RENT,35000,Not Verified,May-11,debt_consolidation,658xx,MO,13.13,0,Oct-03,0,5,0,5864,0.477,9,0,7.607142857
8,25600,60 months,14.27,4 years,RENT,86000,Verified,Nov-11,debt_consolidation,105xx,NY,26.51,0,Oct-83,1,16,0,33021,0.708,32,0,28.18131868
9,19750,60 months,23.22,10+ years,MORTGAGE,72500,Verified,Jun-11,debt_consolidation,630xx,MO,19.96,0,Mar-92,0,15,0,21544,0.987,44,0,19.31593407
10,6250,36 months,17.27,4 years,MORTGAGE,28000,Verified,Nov-11,other,450xx,OH,13.76,0,Oct-99,0,2,1,0,0.0846,15,1,12.12637363
11,8000,36 months,13.79,5 years,RENT,75000,Source Verified,Mar-09,credit_card,959xx,CA,12.78,0,Jun-90,1,8,0,9287,0.619,37,0,18.81318681
12,15000,36 months,15.23,7 years,MORTGAGE,38400,Source Verified,Jul-11,small_business,721xx,AR,17.38,1,Oct-99,2,5,0,1960,0.817,12,0,11.78846154
13,16000,36 months,6.54,4 years,MORTGAGE,1.00E+05,Verified,Nov-10,debt_consolidation,775xx,TX,6.05,0,Dec-89,0,5,0,11006,0.651,36,0,20.98901099
14,7000,36 months,16.63,7 years,RENT,30996,Verified,Aug-09,debt_consolidation,082xx,NJ,8.32,2,Jan-02,1,3,0,6082,0.965,11,0,7.607142857
15,15000,60 months,9.99,2 years,MORTGAGE,23500,Source Verified,Dec-10,debt_consolidation,857xx,AZ,11.95,0,Mar-01,1,8,0,3584,0.166,12,0,9.785714286
16,9000,36 months,21.21,2 years,MORTGAGE,90000,Not Verified,Oct-09,debt_consolidation,530xx,WI,10.24,0,Oct-05,10,9,0,6089,0.451,23,0,4.013736264
17,13000,36 months,11.83,3 years,MORTGAGE,107004,Not Verified,Sep-09,debt_consolidation,240xx,VA,13.2,0,Sep-00,1,14,0,38433,0.565,31,0,9.03021978
18,4500,36 months,11.83,< 1 year,MORTGAGE,12960,Not Verified,Jan-10,debt_consolidation,242xx,VA,9.17,0,Mar-97,2,7,1,2832,0.368,10,0,12.88186813
19,10500,36 months,12.53,3 years,RENT,51504,Not Verified,Jul-09,credit_card,784xx,TX,23.49,0,Oct-01,1,12,0,18709,0.639,19,0,7.774725275
20,2000,36 months,13.61,1 year,RENT,26496,Not Verified,Jun-10,debt_consolidation,926xx,CA,17.71,0,May-06,0,5,0,5992,0.379,7,0,4.098901099
21,8000,36 months,11.14,4 years,MORTGAGE,55000,Not Verified,Aug-09,credit_card,300xx,GA,18.89,1,Mar-94,1,14,0,36269,0.416,27,0,15.47252747
22,14400,36 months,8.9,4 years,RENT,59000,Not Verified,Jun-11,credit_card,750xx,TX,10.72,0,Oct-05,0,5,0,20380,0.639,10,0,5.684065934
23,6000,36 months,15.99,1 year,RENT,45000,Not Verified,Aug-11,small_business,112xx,NY,3.84,0,Jan-08,0,3,0,6195,0.86,3,0,3.593406593
24,4200,36 months,13.06,10+ years,MORTGAGE,78000,Not Verified,Apr-11,major_purchase,088xx,NJ,13.82,5,Feb-80,1,14,0,23653,0.852,28,0,31.26923077
25,3600,36 months,14.17,4 years,RENT,30000,Verified,Apr-11,other,924xx,CA,0.68,1,Feb-06,2,4,0,278,0.056,9,0,5.178571429
26,5000,36 months,6,10+ years,RENT,34868.4,Source Verified,Sep-10,wedding,321xx,FL,4.37,1,Jan-02,3,2,0,2295,0.389,7,0,8.695054945
27,7000,36 months,16.35,< 1 year,RENT,36000,Not Verified,Dec-09,other,945xx,CA,3.73,0,Nov-04,0,2,0,3722,0.93,3,0,5.098901099
28,2800,36 months,7.49,4 years,RENT,48000,Not Verified,Jul-11,other,934xx,CA,25.45,0,Nov-02,3,6,0,1513,0.226,20,0,8.692307692
29,6500,36 months,15.65,4 years,RENT,42500,Not Verified,Aug-09,medical,148xx,NY,13.16,0,Oct-97,1,6,0,1542,0.907,8,1,11.87362637
30,9575,36 months,9.63,2 years,OWN,56996,Source Verified,Apr-09,car,941xx,CA,10.72,0,May-05,0,11,0,8305,0.269,15,0,3.931318681
31,17325,36 months,11.99,1 year,MORTGAGE,114000,Source Verified,Jul-11,credit_card,941xx,CA,12.89,0,Sep-97,0,7,0,7914,0.659,13,0,13.87637363
32,16000,60 months,16.49,4 years,MORTGAGE,65000,Verified,Jul-11,debt_consolidation,331xx,FL,17.54,0,May-00,1,12,0,7826,0.242,24,0,11.2032967
33,12000,36 months,7.29,10+ years,RENT,68400,Source Verified,Mar-11,debt_consolidation,995xx,AK,17.05,0,Jun-02,0,19,0,30181,0.523,44,0,8.777472527
34,10000,36 months,6.92,10+ years,RENT,43337,Not Verified,Jan-11,small_business,770xx,TX,24.89,0,May-01,0,5,0,3888,0.362,8,0,9.703296703
35,18000,36 months,6.62,2 years,MORTGAGE,78000,Not Verified,Dec-11,debt_consolidation,760xx,TX,6.35,0,Mar-92,0,8,0,16136,0.25,13,0,19.81868132
36,1450,36 months,7.51,n/a,RENT,10000,Source Verified,Sep-10,other,021xx,MA,22.2,0,Jun-04,0,9,0,709,0.032,10,0,6.271978022
37,12500,36 months,18.62,2 years,RENT,43560,Source Verified,Mar-11,debt_consolidation,553xx,MN,5.43,0,Feb-08,0,4,0,8735,0.856,8,0,3.087912088
38,5500,36 months,14.62,3 years,RENT,24000,Not Verified,Dec-08,debt_consolidation,331xx,FL,20.45,0,Mar-05,4,4,0,4609,0.838,7,0,3.766483516
39,6000,60 months,11.49,3 years,RENT,24000,Not Verified,Jun-10,debt_consolidation,532xx,WI,10.65,0,Aug-98,1,7,0,2607,0.352,20,0,11.87362637
40,25000,36 months,15.57,7 years,MORTGAGE,2.00E+05,Verified,Nov-10,debt_consolidation,750xx,TX,23.78,0,Apr-96,0,19,0,98433,0.838,39,0,14.63461538
41,12000,36 months,9.88,6 years,MORTGAGE,80000,Not Verified,Apr-10,debt_consolidation,206xx,MD,15.03,0,Nov-88,0,13,0,19330,0.23,23,0,21.48626374
42,14275,60 months,20.3,6 years,MORTGAGE,54000,Verified,Oct-11,home_improvement,853xx,AZ,19.31,0,Feb-99,2,10,1,11619,0.818,20,0,12.70604396
